fname,fyear,tUTC,tLocal,tLocalGMT,timestep,timestep_hh,farea,fareaPer,fperim,rflinelen,cflinelen5,cflinelen10,cflinelen25,cflinelen50,cflinelen75,cflinelen90,rfline_fstate,cfline5_fstate,cfline10_fstate,cfline25_fstate,cfline50_fstate,cfline75_fstate,cfline90_fstate,dfarea,maefspread,awefspread
North Complex,2020,2020-08-17 22:00:00,2020-08-17 15:00:00,2020-08-17 14:00:00,6,5.5,0.701,0.0521382638330029,3.153,3.153,3.153,3.153,3.153,3.153,3.153,3.153,1,1,1,1,1,1,1,0.701,0.582,0.481
North Complex,2020,2020-08-17 23:00:00,2020-08-17 16:00:00,2020-08-17 15:00:00,7,6.5,2.298,0.170918302836292,5.833,5.833,5.833,5.833,2.989,0.092,3.153,3.153,0,1,1,1,1,0,0,1.597,0.947,0.507
North Complex,2020,2020-08-18 00:00:00,2020-08-17 17:00:00,2020-08-17 16:00:00,8,7.5,2.298,0.170918302836292,5.833,5.833,5.833,5.833,2.989,0.092,3.153,3.153,0,0,0,0,0,0,0,0,0,0
North Complex,2020,2020-08-18 01:00:00,2020-08-17 18:00:00,2020-08-17 17:00:00,9,8.5,2.298,0.170918302836292,5.833,5.833,5.833,5.833,2.989,0.092,3.153,3.153,0,0,0,0,0,0,0,0,0,0
North Complex,2020,2020-08-18 02:00:00,2020-08-17 19:00:00,2020-08-17 18:00:00,10,9.5,2.298,0.170918302836292,5.833,5.833,1.299,5.833,2.989,0.092,3.153,3.153,0,1,0,0,0,0,0,0,0,0
North Complex,2020,2020-08-18 03:00:00,2020-08-17 20:00:00,2020-08-17 19:00:00,11,10.5,2.298,0.170918302836292,5.833,5.833,1.299,5.833,2.989,0.092,3.153,3.153,0,0,0,0,0,0,0,0,0,0
North Complex,2020,2020-08-18 04:00:00,2020-08-17 21:00:00,2020-08-17 20:00:00,12,11.5,2.298,0.170918302836292,5.833,5.833,1.299,5.833,2.989,0.092,3.153,3.153,0,0,0,0,0,0,0,0,0,0
North Complex,2020,2020-08-18 05:00:00,2020-08-17 22:00:00,2020-08-17 21:00:00,13,12.5,2.298,0.170918302836292,5.833,5.833,1.299,5.833,2.989,0.092,3.153,3.153,0,0,0,0,0,0,0,0,0,0
North Complex,2020,2020-08-18 06:00:00,2020-08-17 23:00:00,2020-08-17 22:00:00,14,13.5,2.298,0.170918302836292,5.833,5.833,1.299,5.833,2.989,0.092,3.153,3.153,1,0,0,0,0,0,0,0,0,0
North Complex,2020,2020-08-18 07:00:00,2020-08-18 00:00:00,2020-08-17 23:00:00,15,14.5,3.114,0.231609919509231,6.723,4.986,6.723,6.723,3.874,1.322,3.153,3.153,1,1,1,1,1,0,0,0.816,0.274,0.14
