fname,fyear,tUTC,tLocal,tLocalGMT,timestep,timestep_hh,farea,fareaPer,fperim,rflinelen,cflinelen5,cflinelen10,cflinelen25,cflinelen50,cflinelen75,cflinelen90,rfline_fstate,cfline5_fstate,cfline10_fstate,cfline25_fstate,cfline50_fstate,cfline75_fstate,cfline90_fstate,dfarea,maefspread,awefspread
Kincade,2019,2019-10-24 05:00:00,2019-10-23 22:00:00,2019-10-23 21:00:00,1,0.5,8.468,2.44205596426316,11.265,8.753,11.265,11.265,11.265,11.265,11.265,11.265,1,1,1,1,1,1,1,8.468,2.307,1.647
Kincade,2019,2019-10-24 06:00:00,2019-10-23 23:00:00,2019-10-23 22:00:00,2,1.5,31.727,9.1496350470214,21.803,11.481,21.803,21.803,21.803,21.803,21.803,19.096,1,1,1,1,1,1,1,23.259,4.886,2.657
Kincade,2019,2019-10-24 07:00:00,2019-10-24 00:00:00,2019-10-23 23:00:00,3,2.5,42.058,12.1289548588781,26.241,4.824,26.241,26.241,26.241,23.557,17.819,14.988,1,1,1,1,1,1,1,10.331,2.666,0.9
Kincade,2019,2019-10-24 08:00:00,2019-10-24 01:00:00,2019-10-24 00:00:00,4,3.5,42.601,12.2855486695294,26.361,9.144,26.361,25.96,23.44,20.253,14.867,12.103,1,1,1,1,1,1,1,0.543,0.238,0.113
Kincade,2019,2019-10-24 09:00:00,2019-10-24 02:00:00,2019-10-24 01:00:00,5,4.5,45.211,13.0382371516653,27.539,12.002,27.124,25.572,21.535,19.736,17.537,15.062,0,1,1,1,1,1,1,2.61,1.141,0.285
Kincade,2019,2019-10-24 10:00:00,2019-10-24 03:00:00,2019-10-24 02:00:00,6,5.5,45.211,13.0382371516653,27.539,12.002,24.768,23.533,19.069,16.765,13.6,9.197,1,1,1,1,1,1,1,0,0,0
Kincade,2019,2019-10-24 11:00:00,2019-10-24 04:00:00,2019-10-24 03:00:00,7,6.5,61.712,17.7969009998356,33.559,8.331,29.663,27.904,23.792,18.572,12.577,10.856,1,1,1,1,1,1,1,16.501,2.571,1.375
Kincade,2019,2019-10-24 12:00:00,2019-10-24 05:00:00,2019-10-24 04:00:00,8,7.5,63.571,18.3330113018627,33.47,21.67,32.668,31.163,26.757,20.084,14.576,10.894,1,1,1,1,1,1,1,1.859,0.519,0.223
Kincade,2019,2019-10-24 13:00:00,2019-10-24 06:00:00,2019-10-24 05:00:00,9,8.5,100.232,28.9055448051517,46.17,12.294,45.734,44.205,39.535,34.599,29.893,22.554,1,1,1,1,1,1,1,36.661,3.348,1.692
Kincade,2019,2019-10-24 14:00:00,2019-10-24 07:00:00,2019-10-24 06:00:00,10,9.5,109.67,31.6273355692892,44.205,7.07,37.388,35.952,34.475,30.617,25.258,16.217,1,1,1,1,1,1,1,9.438,2.075,0.768
Kincade,2019,2019-10-24 15:00:00,2019-10-24 08:00:00,2019-10-24 07:00:00,11,10.5,116.282,33.5341463907001,44.204,10.071,43.767,41.335,35.482,25.456,6.904,0.86,0,1,1,1,1,1,1,6.612,2.112,0.935
Kincade,2019,2019-10-24 16:00:00,2019-10-24 09:00:00,2019-10-24 08:00:00,12,11.5,116.282,33.5341463907001,44.204,10.071,35.014,28.952,18.892,4.995,1.863,0.86,0,1,1,1,1,1,0,0,0,0
Kincade,2019,2019-10-24 17:00:00,2019-10-24 10:00:00,2019-10-24 09:00:00,13,12.5,116.282,33.5341463907001,44.204,10.071,23.227,18.832,13.104,7.712,1.863,0.86,0,1,1,1,1,0,0,0,0,0
Kincade,2019,2019-10-24 18:00:00,2019-10-24 11:00:00,2019-10-24 10:00:00,14,13.5,116.282,33.5341463907001,44.204,10.071,25.091,20.453,14.826,10.643,5.317,3.549,0,1,1,1,1,1,1,0,0,0
Kincade,2019,2019-10-24 19:00:00,2019-10-24 12:00:00,2019-10-24 11:00:00,15,14.5,116.282,33.5341463907001,44.204,10.071,25.456,20.894,14.927,10.878,5.317,1.872,0,1,1,1,1,1,1,0,0,0
Kincade,2019,2019-10-24 20:00:00,2019-10-24 13:00:00,2019-10-24 12:00:00,16,15.5,116.282,33.5341463907001,44.204,10.071,22.928,18.931,13.312,8.606,2.93,0.015,0,1,1,1,1,1,1,0,0,0
Kincade,2019,2019-10-24 21:00:00,2019-10-24 14:00:00,2019-10-24 13:00:00,17,16.5,116.282,33.5341463907001,44.204,10.071,14.735,11.619,5.974,3.729,0.805,0.015,0,1,1,1,1,1,0,0,0,0
Kincade,2019,2019-10-24 22:00:00,2019-10-24 15:00:00,2019-10-24 14:00:00,18,17.5,116.282,33.5341463907001,44.204,10.071,22.29,20.611,16.866,9.437,2.287,0.015,0,1,1,1,1,1,0,0,0,0
Kincade,2019,2019-10-24 23:00:00,2019-10-24 16:00:00,2019-10-24 15:00:00,19,18.5,116.282,33.5341463907001,44.204,10.071,6.207,5.54,3.497,1.185,2.287,0.015,0,1,1,1,1,0,0,0,0,0
Kincade,2019,2019-10-25 00:00:00,2019-10-24 17:00:00,2019-10-24 16:00:00,20,19.5,116.282,33.5341463907001,44.204,10.071,5.737,4.163,0.716,1.185,2.287,0.015,0,1,1,1,0,0,0,0,0,0
Kincade,2019,2019-10-25 01:00:00,2019-10-24 18:00:00,2019-10-24 17:00:00,21,20.5,116.282,33.5341463907001,44.204,10.071,14.221,8.466,3.972,1.027,2.287,0.015,0,1,1,1,1,0,0,0,0,0
Kincade,2019,2019-10-25 02:00:00,2019-10-24 19:00:00,2019-10-24 18:00:00,22,21.5,116.282,33.5341463907001,44.204,10.071,18.443,15.794,10.4,3.177,2.287,0.015,0,1,1,1,1,0,0,0,0,0
Kincade,2019,2019-10-25 03:00:00,2019-10-24 20:00:00,2019-10-24 19:00:00,23,22.5,116.282,33.5341463907001,44.204,10.071,12.091,10.77,7.6,2.688,0.395,0.015,0,1,1,1,1,1,0,0,0,0
Kincade,2019,2019-10-25 04:00:00,2019-10-24 21:00:00,2019-10-24 20:00:00,24,23.5,116.282,33.5341463907001,44.204,10.071,12.467,10.768,7.599,2.516,0.395,0.015,0,1,1,1,1,0,0,0,0,0
Kincade,2019,2019-10-25 05:00:00,2019-10-24 22:00:00,2019-10-24 21:00:00,25,24.5,116.282,33.5341463907001,44.204,10.071,10.692,9.171,5.737,2.778,0.201,0.015,0,1,1,1,1,1,0,0,0,0
Kincade,2019,2019-10-25 06:00:00,2019-10-24 23:00:00,2019-10-24 22:00:00,26,25.5,116.282,33.5341463907001,44.204,10.071,7.087,6.413,4.993,2.883,0.201,0.015,0,1,1,1,1,0,0,0,0,0
Kincade,2019,2019-10-25 07:00:00,2019-10-25 00:00:00,2019-10-24 23:00:00,27,26.5,116.282,33.5341463907001,44.204,10.071,9.848,9.033,7.37,4.865,2.361,0.015,0,1,1,1,1,1,0,0,0,0
Kincade,2019,2019-10-25 08:00:00,2019-10-25 01:00:00,2019-10-25 00:00:00,28,27.5,116.282,33.5341463907001,44.204,10.071,6.73,6.01,4.518,2.372,2.361,0.015,0,1,1,1,1,0,0,0,0,0
Kincade,2019,2019-10-25 09:00:00,2019-10-25 02:00:00,2019-10-25 01:00:00,29,28.5,116.282,33.5341463907001,44.204,10.071,6.73,6.01,4.518,2.372,2.361,0.015,0,1,1,1,1,0,0,0,0,0
Kincade,2019,2019-10-25 10:00:00,2019-10-25 03:00:00,2019-10-25 02:00:00,30,29.5,116.282,33.5341463907001,44.204,10.071,6.73,6.01,4.518,2.372,2.361,0.015,0,1,1,1,1,0,0,0,0,0
Kincade,2019,2019-10-25 11:00:00,2019-10-25 04:00:00,2019-10-25 03:00:00,31,30.5,116.282,33.5341463907001,44.204,10.071,6.73,6.01,4.518,2.372,2.361,0.015,0,1,1,1,1,0,0,0,0,0
Kincade,2019,2019-10-25 12:00:00,2019-10-25 05:00:00,2019-10-25 04:00:00,32,31.5,116.282,33.5341463907001,44.204,10.071,6.73,5.931,4.179,0.948,2.361,0.015,0,1,1,1,1,0,0,0,0,0
Kincade,2019,2019-10-25 13:00:00,2019-10-25 06:00:00,2019-10-25 05:00:00,33,32.5,116.282,33.5341463907001,44.204,10.071,6.73,5.931,4.179,0.948,2.361,0.015,0,1,1,1,1,0,0,0,0,0
Kincade,2019,2019-10-25 14:00:00,2019-10-25 07:00:00,2019-10-25 06:00:00,34,33.5,116.282,33.5341463907001,44.204,10.071,6.73,6.01,4.518,2.372,2.361,0.015,0,1,1,1,1,0,0,0,0,0
Kincade,2019,2019-10-25 15:00:00,2019-10-25 08:00:00,2019-10-25 07:00:00,35,34.5,116.282,33.5341463907001,44.204,10.071,5.562,4.525,2.53,2.372,2.361,0.015,0,1,1,1,0,0,0,0,0,0
Kincade,2019,2019-10-25 16:00:00,2019-10-25 09:00:00,2019-10-25 08:00:00,36,35.5,116.282,33.5341463907001,44.204,10.071,6.088,5.301,3.255,2.372,2.361,0.015,0,1,1,1,0,0,0,0,0,0
Kincade,2019,2019-10-25 17:00:00,2019-10-25 10:00:00,2019-10-25 09:00:00,37,36.5,116.282,33.5341463907001,44.204,10.071,6.73,6.01,4.518,2.372,2.361,0.015,0,1,1,1,1,0,0,0,0,0
Kincade,2019,2019-10-25 18:00:00,2019-10-25 11:00:00,2019-10-25 10:00:00,38,37.5,116.282,33.5341463907001,44.204,10.071,5.645,4.525,2.53,2.372,2.361,0.015,0,1,1,1,0,0,0,0,0,0
Kincade,2019,2019-10-25 19:00:00,2019-10-25 12:00:00,2019-10-25 11:00:00,39,38.5,116.282,33.5341463907001,44.204,10.071,17.881,15.54,9.062,3.959,2.04,0.015,0,1,1,1,1,1,0,0,0,0
Kincade,2019,2019-10-25 20:00:00,2019-10-25 13:00:00,2019-10-25 12:00:00,40,39.5,116.282,33.5341463907001,44.204,10.071,14.513,12.401,6.965,2.035,2.04,0.015,0,1,1,1,1,0,0,0,0,0
Kincade,2019,2019-10-25 21:00:00,2019-10-25 14:00:00,2019-10-25 13:00:00,41,40.5,116.282,33.5341463907001,44.204,10.071,21.48,20.575,18.308,13.627,6.923,0.689,0,1,1,1,1,1,1,0,0,0
Kincade,2019,2019-10-25 22:00:00,2019-10-25 15:00:00,2019-10-25 14:00:00,42,41.5,116.282,33.5341463907001,44.204,10.071,25.403,23.358,19.599,15.679,8.932,0.689,0,1,1,1,1,1,0,0,0,0
Kincade,2019,2019-10-25 23:00:00,2019-10-25 16:00:00,2019-10-25 15:00:00,43,42.5,116.282,33.5341463907001,44.204,10.071,19.071,18.378,16.998,14.668,9.114,1.322,1,1,1,1,1,1,1,0,0,0
Kincade,2019,2019-10-26 00:00:00,2019-10-25 17:00:00,2019-10-25 16:00:00,44,43.5,122.457,35.3149323589718,44.849,14.261,28.803,27.681,20.253,14.973,6.463,3.693,1,1,1,1,1,1,1,6.175,1.057,0.613
Kincade,2019,2019-10-26 01:00:00,2019-10-25 18:00:00,2019-10-25 17:00:00,45,44.5,135.55,39.0907753844912,46.454,7.337,26.613,25.442,20.531,10.244,5.293,3.075,0,1,1,1,1,1,1,13.093,2.129,0.918
Kincade,2019,2019-10-26 02:00:00,2019-10-25 19:00:00,2019-10-25 18:00:00,46,45.5,135.55,39.0907753844912,46.454,7.338,16.134,14.724,11.698,8.353,4.994,2.776,0,1,1,1,1,1,1,0,0,0
Kincade,2019,2019-10-26 03:00:00,2019-10-25 20:00:00,2019-10-25 19:00:00,47,46.5,135.55,39.0907753844912,46.454,7.338,11.498,10.597,8.848,6.865,4.748,0.917,0,1,1,1,1,1,1,0,0,0
Kincade,2019,2019-10-26 04:00:00,2019-10-25 21:00:00,2019-10-25 20:00:00,48,47.5,135.55,39.0907753844912,46.454,7.338,11.628,10.799,8.755,6.849,3.288,0.399,0,1,1,1,1,1,1,0,0,0
Kincade,2019,2019-10-26 05:00:00,2019-10-25 22:00:00,2019-10-25 21:00:00,49,48.5,135.55,39.0907753844912,46.454,7.338,11.068,9.705,7.257,4.902,1.565,0.399,0,1,1,1,1,1,0,0,0,0
Kincade,2019,2019-10-26 06:00:00,2019-10-25 23:00:00,2019-10-25 22:00:00,50,49.5,135.55,39.0907753844912,46.454,7.338,9.256,8.098,5.989,2.795,1.565,0.399,0,1,1,1,1,0,0,0,0,0
Kincade,2019,2019-10-26 07:00:00,2019-10-26 00:00:00,2019-10-25 23:00:00,51,50.5,135.55,39.0907753844912,46.454,7.338,9,7.709,4.541,2.795,1.565,0.399,0,1,1,1,0,0,0,0,0,0
Kincade,2019,2019-10-26 08:00:00,2019-10-26 01:00:00,2019-10-26 00:00:00,52,51.5,135.55,39.0907753844912,46.454,7.338,7.898,7.11,4.142,2.795,1.565,0.399,0,1,1,1,0,0,0,0,0,0
Kincade,2019,2019-10-26 09:00:00,2019-10-26 02:00:00,2019-10-26 01:00:00,53,52.5,135.55,39.0907753844912,46.454,7.338,8.422,4.351,4.142,2.795,1.565,0.399,0,1,1,0,0,0,0,0,0,0
Kincade,2019,2019-10-26 10:00:00,2019-10-26 03:00:00,2019-10-26 02:00:00,54,53.5,135.55,39.0907753844912,46.454,7.338,9,7.709,4.541,2.795,1.565,0.399,0,1,1,1,0,0,0,0,0,0
Kincade,2019,2019-10-26 11:00:00,2019-10-26 04:00:00,2019-10-26 03:00:00,55,54.5,135.55,39.0907753844912,46.454,7.338,5.353,4.351,4.541,2.795,1.565,0.399,0,1,1,0,0,0,0,0,0,0
Kincade,2019,2019-10-26 12:00:00,2019-10-26 05:00:00,2019-10-26 04:00:00,56,55.5,135.55,39.0907753844912,46.454,7.338,5.353,4.351,4.541,2.795,1.565,0.399,0,1,1,0,0,0,0,0,0,0
Kincade,2019,2019-10-26 13:00:00,2019-10-26 06:00:00,2019-10-26 05:00:00,57,56.5,135.55,39.0907753844912,46.454,7.337,5.353,4.351,4.541,2.795,1.565,0.399,0,1,1,0,0,0,0,0,0,0
Kincade,2019,2019-10-26 14:00:00,2019-10-26 07:00:00,2019-10-26 06:00:00,58,57.5,135.55,39.0907753844912,46.454,7.338,9.739,8.227,4.507,0.515,1.565,0.399,0,1,1,1,1,0,0,0,0,0
Kincade,2019,2019-10-26 15:00:00,2019-10-26 08:00:00,2019-10-26 07:00:00,59,58.5,135.55,39.0907753844912,46.454,7.338,5.709,5.052,3.658,0.515,1.565,0.399,0,1,1,1,1,0,0,0,0,0
Kincade,2019,2019-10-26 16:00:00,2019-10-26 09:00:00,2019-10-26 08:00:00,60,59.5,135.55,39.0907753844912,46.454,7.338,8.892,7.998,5.69,2.639,1.565,0.399,0,1,1,1,1,0,0,0,0,0
Kincade,2019,2019-10-26 17:00:00,2019-10-26 10:00:00,2019-10-26 09:00:00,61,60.5,135.55,39.0907753844912,46.454,7.338,5.581,4.834,3.242,2.639,1.565,0.399,0,1,1,1,0,0,0,0,0,0
Kincade,2019,2019-10-26 18:00:00,2019-10-26 11:00:00,2019-10-26 10:00:00,62,61.5,135.55,39.0907753844912,46.454,7.338,5.581,4.834,3.242,2.639,1.565,0.399,0,1,1,1,0,0,0,0,0,0
Kincade,2019,2019-10-26 19:00:00,2019-10-26 12:00:00,2019-10-26 11:00:00,63,62.5,135.55,39.0907753844912,46.454,7.338,11.828,10.148,5.258,2.639,1.565,0.399,1,1,1,1,0,0,0,0,0,0
Kincade,2019,2019-10-26 20:00:00,2019-10-26 13:00:00,2019-10-26 12:00:00,64,63.5,137.366,39.6144850716784,47.216,11.436,18.183,16.326,12.139,6.748,0.155,0.399,1,1,1,1,1,1,0,1.816,0.886,0.247
Kincade,2019,2019-10-26 21:00:00,2019-10-26 14:00:00,2019-10-26 13:00:00,65,64.5,140.076,40.3960121929766,48.483,3.945,10.195,9.639,8.034,6.058,2.773,0.399,1,1,1,1,1,1,0,2.71,0.962,0.237
Kincade,2019,2019-10-26 22:00:00,2019-10-26 15:00:00,2019-10-26 14:00:00,66,65.5,140.616,40.551740844453,48.87,6.364,15.317,14.299,12.445,10.315,8.115,0.399,1,1,1,1,1,1,0,0.54,0.442,0.137
Kincade,2019,2019-10-26 23:00:00,2019-10-26 16:00:00,2019-10-26 15:00:00,67,66.5,141.258,40.736884907875,48.843,8.194,15.29,14.262,12.149,9.68,4.182,0.399,0,1,1,1,1,1,0,0.642,0.217,0.101
Kincade,2019,2019-10-27 00:00:00,2019-10-26 17:00:00,2019-10-26 16:00:00,68,67.5,141.258,40.736884907875,48.843,8.194,15.29,14.262,12.149,9.68,4.382,0.399,0,1,1,1,1,1,0,0,0,0
Kincade,2019,2019-10-27 01:00:00,2019-10-26 18:00:00,2019-10-26 17:00:00,69,68.5,141.258,40.736884907875,48.843,8.194,12.172,11.328,9.138,3.327,1.307,0.399,0,1,1,1,1,1,0,0,0,0
Kincade,2019,2019-10-27 02:00:00,2019-10-26 19:00:00,2019-10-26 18:00:00,70,69.5,141.258,40.736884907875,48.843,8.194,5.3,4.346,2.905,3.327,1.307,0.399,0,1,1,1,0,0,0,0,0,0
