fname,fyear,tUTC,tLocal,tLocalGMT,timestep,timestep_hh,farea,fareaPer,fperim,rflinelen,cflinelen5,cflinelen10,cflinelen25,cflinelen50,cflinelen75,cflinelen90,rfline_fstate,cfline5_fstate,cfline10_fstate,cfline25_fstate,cfline50_fstate,cfline75_fstate,cfline90_fstate,dfarea,maefspread,awefspread
River Complex,2021,2021-08-01 05:00:00,2021-07-31 22:00:00,2021-07-31 21:00:00,32,31.5,0.536,0.0575534624420707,2.724,2.092,2.724,2.724,2.724,2.724,2.724,2.724,1,1,1,1,1,1,1,0.536,0.519,0.411
River Complex,2021,2021-08-01 06:00:00,2021-07-31 23:00:00,2021-07-31 22:00:00,33,32.5,1.115,0.119724086983039,3.88,3.88,3.88,3.88,3.88,3.88,3.88,2.724,0,1,1,1,1,1,0,0.579,0.434,0.277
River Complex,2021,2021-08-01 07:00:00,2021-08-01 00:00:00,2021-07-31 23:00:00,34,33.5,1.115,0.119724086983039,3.88,3.88,3.88,3.88,3.88,3.88,3.88,2.724,0,0,0,0,0,0,0,0,0,0
River Complex,2021,2021-08-01 08:00:00,2021-08-01 01:00:00,2021-08-01 00:00:00,35,34.5,1.115,0.119724086983039,3.88,3.88,3.88,3.88,3.88,3.88,3.88,2.724,0,0,0,0,0,0,0,0,0,0
River Complex,2021,2021-08-01 09:00:00,2021-08-01 02:00:00,2021-08-01 01:00:00,36,35.5,1.115,0.119724086983039,3.88,3.88,3.88,3.88,3.88,3.88,3.88,2.724,0,0,0,0,0,0,0,0,0,0
River Complex,2021,2021-08-01 10:00:00,2021-08-01 03:00:00,2021-08-01 02:00:00,37,36.5,1.115,0.119724086983039,3.88,3.88,3.88,3.88,3.88,3.88,3.88,2.724,0,0,0,0,0,0,0,0,0,0
River Complex,2021,2021-08-01 11:00:00,2021-08-01 04:00:00,2021-08-01 03:00:00,38,37.5,1.115,0.119724086983039,3.88,3.88,3.88,3.88,3.88,3.88,3.88,2.724,0,0,0,0,0,0,0,0,0,0
River Complex,2021,2021-08-01 12:00:00,2021-08-01 05:00:00,2021-08-01 04:00:00,39,38.5,1.115,0.119724086983039,3.88,3.88,3.88,3.88,3.88,3.88,3.88,2.724,0,0,0,0,0,0,0,0,0,0
River Complex,2021,2021-08-01 13:00:00,2021-08-01 06:00:00,2021-08-01 05:00:00,40,39.5,1.115,0.119724086983039,3.88,3.88,3.88,3.88,3.88,3.88,3.88,2.724,0,0,0,0,0,0,0,0,0,0
River Complex,2021,2021-08-01 14:00:00,2021-08-01 07:00:00,2021-08-01 06:00:00,41,40.5,1.115,0.119724086983039,3.88,3.88,3.88,3.88,3.88,3.88,3.88,2.724,0,0,0,0,0,0,0,0,0,0
River Complex,2021,2021-08-01 15:00:00,2021-08-01 08:00:00,2021-08-01 07:00:00,42,41.5,1.115,0.119724086983039,3.88,3.88,3.88,3.88,3.88,3.88,3.88,2.724,0,0,0,0,0,0,0,0,0,0
River Complex,2021,2021-08-01 16:00:00,2021-08-01 09:00:00,2021-08-01 08:00:00,43,42.5,1.115,0.119724086983039,3.88,3.88,3.88,3.88,3.88,3.88,3.88,2.724,0,0,0,0,0,0,0,0,0,0
River Complex,2021,2021-08-01 17:00:00,2021-08-01 10:00:00,2021-08-01 09:00:00,44,43.5,1.115,0.119724086983039,3.88,3.88,3.88,3.88,3.88,3.88,3.88,2.724,0,0,0,0,0,0,0,0,0,0
River Complex,2021,2021-08-01 18:00:00,2021-08-01 11:00:00,2021-08-01 10:00:00,45,44.5,1.115,0.119724086983039,3.88,3.88,2.066,1.067,3.88,3.88,3.88,2.724,0,1,1,0,0,0,0,0,0,0
River Complex,2021,2021-08-01 19:00:00,2021-08-01 12:00:00,2021-08-01 11:00:00,46,45.5,1.115,0.119724086983039,3.88,3.88,2.066,1.067,3.88,3.88,3.88,2.724,0,0,0,0,0,0,0,0,0,0
River Complex,2021,2021-08-01 20:00:00,2021-08-01 13:00:00,2021-08-01 12:00:00,47,46.5,1.115,0.119724086983039,3.88,3.88,3.88,3.88,3.88,3.88,3.88,2.724,1,1,1,1,1,1,0,0,0,0
River Complex,2021,2021-08-01 21:00:00,2021-08-01 14:00:00,2021-08-01 13:00:00,48,47.5,6.635,0.712438849446155,9.742,8.709,9.742,9.742,9.742,3.281,3.88,2.724,0,1,1,1,1,0,0,5.52,2.43,1.423
River Complex,2021,2021-08-01 22:00:00,2021-08-01 15:00:00,2021-08-01 14:00:00,49,48.5,6.635,0.712438849446155,9.742,8.709,6.323,5.142,2.838,3.281,3.88,2.724,0,1,1,1,0,0,0,0,0,0
River Complex,2021,2021-08-01 23:00:00,2021-08-01 16:00:00,2021-08-01 15:00:00,50,49.5,6.635,0.712438849446155,9.742,8.709,5.863,4.961,2.667,3.281,3.88,2.724,0,1,1,1,0,0,0,0,0,0
River Complex,2021,2021-08-02 00:00:00,2021-08-01 17:00:00,2021-08-01 16:00:00,51,50.5,6.635,0.712438849446155,9.742,8.709,5.863,4.961,2.667,3.281,3.88,2.724,0,1,1,1,0,0,0,0,0,0
River Complex,2021,2021-08-02 01:00:00,2021-08-01 18:00:00,2021-08-01 17:00:00,52,51.5,6.635,0.712438849446155,9.742,8.709,9.742,9.742,5.937,3.281,3.88,2.724,0,1,1,1,0,0,0,0,0,0
River Complex,2021,2021-08-02 02:00:00,2021-08-01 19:00:00,2021-08-01 18:00:00,53,52.5,6.635,0.712438849446155,9.742,8.709,9.742,9.742,9.742,4.084,3.88,2.724,0,1,1,1,1,0,0,0,0,0
River Complex,2021,2021-08-02 03:00:00,2021-08-01 20:00:00,2021-08-01 19:00:00,54,53.5,6.635,0.712438849446155,9.742,8.709,9.119,8.042,5.807,3.556,3.88,2.724,0,1,1,1,1,0,0,0,0,0
River Complex,2021,2021-08-02 04:00:00,2021-08-01 21:00:00,2021-08-01 20:00:00,55,54.5,6.635,0.712438849446155,9.742,8.709,9.742,9.182,6.51,4.066,3.88,2.724,0,1,1,1,1,0,0,0,0,0
River Complex,2021,2021-08-02 05:00:00,2021-08-01 22:00:00,2021-08-01 21:00:00,56,55.5,6.635,0.712438849446155,9.742,8.709,6.518,5.875,3.832,4.066,3.88,2.724,0,1,1,1,0,0,0,0,0,0
River Complex,2021,2021-08-02 06:00:00,2021-08-01 23:00:00,2021-08-01 22:00:00,57,56.5,6.635,0.712438849446155,9.742,8.709,6.934,6.124,3.949,4.066,3.88,2.724,0,1,1,1,0,0,0,0,0,0
River Complex,2021,2021-08-02 07:00:00,2021-08-02 00:00:00,2021-08-01 23:00:00,58,57.5,6.635,0.712438849446155,9.742,8.709,6.518,5.875,3.832,4.066,3.88,2.724,0,1,1,1,0,0,0,0,0,0
River Complex,2021,2021-08-02 08:00:00,2021-08-02 01:00:00,2021-08-02 00:00:00,59,58.5,6.635,0.712438849446155,9.742,8.709,6.518,5.875,3.832,4.066,3.88,2.724,0,1,1,1,0,0,0,0,0,0
River Complex,2021,2021-08-02 09:00:00,2021-08-02 02:00:00,2021-08-02 01:00:00,60,59.5,6.635,0.712438849446155,9.742,8.709,5.863,4.961,2.667,4.066,3.88,2.724,0,1,1,1,0,0,0,0,0,0
River Complex,2021,2021-08-02 10:00:00,2021-08-02 03:00:00,2021-08-02 02:00:00,61,60.5,6.635,0.712438849446155,9.742,8.709,5.863,4.961,2.667,4.066,3.88,2.724,0,0,0,0,0,0,0,0,0,0
River Complex,2021,2021-08-02 11:00:00,2021-08-02 04:00:00,2021-08-02 03:00:00,62,61.5,6.635,0.712438849446155,9.742,8.709,5.863,4.961,2.667,4.066,3.88,2.724,0,0,0,0,0,0,0,0,0,0
River Complex,2021,2021-08-02 12:00:00,2021-08-02 05:00:00,2021-08-02 04:00:00,63,62.5,6.635,0.712438849446155,9.742,8.709,5.863,4.961,2.667,4.066,3.88,2.724,0,0,0,0,0,0,0,0,0,0
River Complex,2021,2021-08-02 13:00:00,2021-08-02 06:00:00,2021-08-02 05:00:00,64,63.5,6.635,0.712438849446155,9.742,8.709,5.863,4.961,2.667,4.066,3.88,2.724,0,0,0,0,0,0,0,0,0,0
River Complex,2021,2021-08-02 14:00:00,2021-08-02 07:00:00,2021-08-02 06:00:00,65,64.5,6.635,0.712438849446155,9.742,8.709,5.863,4.961,2.667,4.066,3.88,2.724,0,0,0,0,0,0,0,0,0,0
River Complex,2021,2021-08-02 15:00:00,2021-08-02 08:00:00,2021-08-02 07:00:00,66,65.5,6.635,0.712438849446155,9.742,8.709,5.863,4.961,2.667,4.066,3.88,2.724,0,0,0,0,0,0,0,0,0,0
River Complex,2021,2021-08-02 16:00:00,2021-08-02 09:00:00,2021-08-02 08:00:00,67,66.5,15.523,1.66679551770198,21.558,11.816,11.816,11.816,11.816,11.816,11.816,3.01,1,1,1,1,1,1,1,8.888,2.41,1.021
River Complex,2021,2021-08-02 17:00:00,2021-08-02 10:00:00,2021-08-02 09:00:00,68,67.5,23.66,2.54051291302126,25.033,10.741,15.291,15.291,15.291,15.291,15.291,10.934,1,1,1,1,1,1,1,8.137,1.444,0.689
River Complex,2021,2021-08-02 18:00:00,2021-08-02 11:00:00,2021-08-02 10:00:00,69,68.5,31.268,3.35742847693781,31.305,9.374,21.563,21.563,21.563,21.563,19.011,9.098,1,1,1,1,1,1,1,7.608,1.977,0.708
